price,price_per_m2,area,district,floors,toilets,bedrooms,balcony,street_frontage,legal,interior,date,district_encoded
70 triệu/m²,"~4,76 tỷ",68.0,Hoàng Mai,,2 phòng,2 phòng,1,0.0,1,1,2024-09-24,8
"6,1 tỷ","~67,78 triệu/m²",90.0,Nam Từ Liêm,,2 phòng,2 phòng,1,0.0,1,1,2024-10-01,12
60 triệu/m²,"~3,82 tỷ",63.7,Gia Lâm,,2 phòng,3 phòng,0,0.0,1,1,2024-10-03,4
"18,5 tỷ","~246,67 triệu/m²",75.0,Đông Anh,5 tầng,,,1,5.0,1,0,2024-10-09,25
"9,5 tỷ","~84,07 triệu/m²",113.0,Nam Từ Liêm,,3 phòng,3 phòng,1,0.0,1,1,2024-10-12,12
92 triệu/m²,"~8,1 tỷ",88.0,Nam Từ Liêm,,,2 phòng,0,0.0,1,1,2024-10-12,12
"2,5 tỷ","~78,62 triệu/m²",31.8,Nam Từ Liêm,,1 phòng,1 phòng,1,0.0,1,1,2024-10-16,12
Thỏa thuận,,43.0,Gia Lâm,,1 phòng,1 phòng,0,0.0,1,0,2024-10-23,4
Thỏa thuận,,145.0,Hoàng Mai,,2 phòng,3 phòng,1,0.0,1,0,2024-11-05,8
Thỏa thuận,,90.0,Đông Anh,,,3 phòng,0,0.0,1,0,2024-11-13,25
Thỏa thuận,,45.0,Gia Lâm,,1 phòng,1 phòng,1,0.0,1,1,2024-11-14,4
Thỏa thuận,,64.0,Đông Anh,,2 phòng,2 phòng,1,0.0,1,1,2024-11-22,25
"44,19 tỷ","~312,5 triệu/m²",141.4,Đông Anh,5 tầng,4 phòng,5 phòng,1,20.0,1,1,2024-11-27,25
Thỏa thuận,,60.0,Đông Anh,,2 phòng,2 phòng,1,0.0,1,1,2024-12-10,25
"28,6 tỷ","~381,33 triệu/m²",75.0,Đông Anh,,,,1,5.0,1,1,2024-12-17,25
"18,6 tỷ","~364,71 triệu/m²",51.0,Long Biên,8 tầng,4 phòng,3 phòng,0,5.0,1,1,2025-02-05,10
"7,5 tỷ","~220,59 triệu/m²",34.0,Long Biên,6 tầng,4 phòng,3 phòng,1,7.0,1,1,2025-02-05,10
"6,6 tỷ",~200 triệu/m²,33.0,Long Biên,5 tầng,4 phòng,3 phòng,1,3.8,1,1,2025-02-05,10
298 tỷ,,260.0,Ba Đình,9 tầng,32 phòng,30 phòng,1,16.0,1,1,2025-02-05,0
"35,6 tỷ",~356 triệu/m²,100.0,Long Biên,7 tầng,5 phòng,4 phòng,1,6.0,1,1,2025-02-05,10
29 tỷ,~725 triệu/m²,40.0,Ba Đình,4 tầng,3 phòng,3 phòng,0,5.0,1,0,2025-02-05,0
"5,9 tỷ","~184,38 triệu/m²",32.0,Long Biên,5 tầng,4 phòng,3 phòng,1,3.8,1,1,2025-02-05,10
6 tỷ,~80 triệu/m²,75.0,Nam Từ Liêm,,2 phòng,2 phòng,1,0.0,1,0,2025-02-06,12
"27,9 tỷ","~273,53 triệu/m²",102.0,Long Biên,8 tầng,4 phòng,4 phòng,1,5.0,1,1,2025-02-06,10
"26,6 tỷ","~295,56 triệu/m²",90.0,Long Biên,8 tầng,6 phòng,6 phòng,1,4.5,1,1,2025-02-06,10
